Name,Phone,Sex,Age,Username,Kills,Deaths,Wins,Games
Cammy Manning,9097401934,F,23,Lonelycammy253,340,374,82,71
Lucius Sparks,9092835135,M,29,Dreamerlucius547,168,214,76,60
Thresa Roy,7143481148,F,22,Drthresa201,83,67,32,0
Jimmie Hudson,7141028505,M,34,Inredjimmie823,274,367,38,160
Chi Dean,9092127775,M,28,Inredchi275,486,273,95,89
Matt Salazar,9097601979,M,27,Xxmatt608,99,111,63,148
Kandra Kim,7145120319,F,19,Lonelykandra830,415,234,84,17
Benjamin Jennings,7146326407,M,24,Benjamin139,367,411,64,81
Francisco Collier,5627976262,F,29,Francisco858,77,19,0,20
Jaqueline Williamson,5623109528,F,24,Birdyjaqueline756,256,27,91,90
Rubin Mcbride,3239265588,M,31,Kotorubin756,71,143,81,129
Fritz Abbott,9098782327,M,31,Dreamerfritz262,100,101,68,6
Clair Hunter,3236902910,M,30,Starclair346,413,8,88,44
Brian Kim,3106249292,M,18,Tierbrian537,486,131,81,158
Ray Cox,3237687222,M,29,Ray853,60,333,33,30
Tobie Berry,7145678171,F,30,Sinnertobie344,291,460,36,97
Willard Washington,3235602758,M,24,Starwillard204,108,318,85,142
Marissa Luna,5628013559,F,21,Xx69Marissa757,351,259,51,122
Deon Wilcox,7142561792,M,24,Royaldeon756,5,137,12,6
Christen Murray,7149662695,F,18,Queenchristen549,217,7,5,31
Akiko Gutierrez,5629444672,F,24,Snobbyakiko191,32,317,39,81
Lacie Dennis,5624772008,F,29,Lacie492,383,49,35,105
Sharla Miles,3108616636,F,33,Sharla186,268,124,7,9
Mike Hood,3239572874,M,26,Droppermike597,156,157,57,127
Ricky Perry,9093191547,M,21,Kotoricky259,330,136,73,139
Burt Summers,3231891410,M,18,Aromaburt569,386,374,13,103
Tatiana Mendez,3108083948,F,24,Galaxy_Tatiana327,82,266,20,25
Wilfred Drake,3233491218,M,34,Starwilfred621,66,169,97,150
Freddy Santos,5628156642,M,33,Sinnerfreddy771,441,317,89,159
Stefany Smith,5628422081,F,22,_Stefany242,23,2,98,74
Vance Harrison,7145374216,M,20,Snobbyvance292,134,192,13,141
Dora Patton,9098489861,F,26,Dora242,344,387,94,126
Len Barnes,9095912147,M,29,Len988,412,419,20,143
Ellsworth Palmer,9095094313,M,21,Ellsworth727,6,461,15,103
Amal Crawford,3107483789,F,25,Staramal240,448,366,39,7
Chieko Anderson,3108776046,F,20,Drchieko488,269,220,58,38
Byron Collier,9099661840,M,33,Byron539,144,297,87,103
Elden Wade,3239281028,M,25,Elden545,188,68,20,140
Porfirio Adkins,3232547144,M,22,Porfirio827,142,232,44,48
Francoise Nunez,3233201265,F,22,Killerfrancoise455,214,437,83,77
Jeffie Farmer,5626411580,F,18,Galaxy_Jeffie698,298,267,29,49
Aurore Stevenson,5623259192,F,18,Frostaurore538,395,197,40,105
Enola Lindsey,3231347065,F,32,Starenola827,38,370,36,104
Maria Ball,9094220694,M,20,Lonemaria66,223,79,66,90
Jae Hamilton,7142869470,M,31,Jae350,492,5,22,102
Alita Mcbride,3103852618,F,22,Xx420Alita434,381,82,100,159
Deidra Vazquez,3233177954,F,22,Lonerdeidra912,366,84,75,35
Yael Snyder,5623580848,F,30,Xxxyael611,272,374,6,10
Hai Sawyer,3232233716,M,18,Kotohai284,243,132,60,59
Sheridan Barber,9098006329,F,18,Aromasheridan867,87,85,93,156
Manuel Briggs,3235754259,M,28,Droppermanuel800,267,251,96,38
Malik Webb,7142778079,M,33,Clonemalik356,262,449,9,77
Martina Mccormick,5628240043,F,25,Droppermartina201,418,3,24,141
Percy Hayes,5622599089,M,27,Royalpercy578,118,81,83,28
Yvonne Peterson,7146629445,F,24,Lonelyyvonne89,293,12,66,51
Laverne Lucas,3239778075,M,32,Killerlaverne273,327,70,62,134
Paulita Dunn,3107414616,F,30,Galaxy_Paulita117,257,441,31,117
Herschel Cook,3104896091,M,21,Soloherschel984,17,127,97,115
Darell French,3102413883,M,25,Xx420Darell745,340,348,38,35
Lourie Phillips,5627552767,F,26,Xxxlourie604,352,428,75,120
John Poole,9098890656,F,31,_John180,276,280,53,37
